,7h,12h,16h,24h
YCR018C,3.42127,4.60137,5.80531,11.3993
YPR165W,343.216,288.289,247.751,151.536
YDR512C,26.5461,44.7684,32.1341,21.6395
YJL162C,4.56254,3.99714,3.72966,3.50281
YDR044W,561.297,289.811,222.635,194.166
YPR189W,5.96185,5.31042,3.30759,2.5114
YGL090W,6.1136,5.47808,7.19578,7.26499
YHR012W,29.4433,28.6945,23.7858,17.1546
YOR375C,590.857,474.515,62.3534,28.2748
YBL089W,13.9229,20.3567,22.6393,17.4158
YPR005C,9.09719,12.4964,24.7285,23.9968
YNL027W,14.3185,9.37541,10.4116,8.81168
YJR030C,14.0041,6.88504,4.22352,5.6702
YGR095C,80.9124,77.7881,46.4077,20.243
YML100W-A,1.96503,0,3.76921,2.747
YPL049C,17.9762,15.3612,11.9084,9.92083
YOL117W,1.32983,1.21188,0.723989,1.38208
YNL111C,4612.24,4240.47,2066.62,1262.48
YNL332W,1.02968,6.11562,0.165376,0
YMR263W,11.075,12.492,6.29577,4.11025
YDR060W,49.1996,32.3359,17.8448,10.2511
YIL052C,1745.33,1124.65,678.678,241.712
YLR429W,36.3023,26.9646,13.8785,8.89347
YJR113C,21.8029,60.0818,87.749,44.1531
YEL064C,6.77142,5.84589,5.05049,3.31534
YGR035W-A,82.1549,164.198,143.302,97.1307
YDL074C,24.6304,19.4515,18.6101,17.6083
YOR226C,112.295,162.796,170.73,123.68
YLR179C,1398.37,1080.89,817.138,466.513
YKL070W,25.3974,23.2416,27.3554,29.8665
YGR153W,2.12701,3.53373,3.31695,4.97661
YLR371W,8.67613,5.97844,8.40702,6.62086
YLL029W,21.7505,26.9082,32.3623,28.217
YPL250C,262.593,122.571,73.0145,220.501
YNL201C,26.2066,22.5913,19.9466,13.6733
YNL242W,0.886774,2.65655,2.78652,2.79711
YMR033W,32.6096,24.2893,14.9584,11.4737
YOR221C,39.2984,42.3601,29.4197,14.0437
YHR111W,14.9356,16.3796,12.579,10.6476
YPL099C,16.9342,23.0115,21.64,19.1779
YKR021W,10.5389,7.50034,5.51619,3.88406
YLR427W,13.3712,12.9594,12.3779,11.2721
YKL041W,16.4929,18.4653,26.2025,24.7874
YOL063C,6.38671,6.76955,5.82056,3.46319
YMR257C,4.2165,9.87596,14.3469,8.65582
YPL212C,68.4834,57.6186,35.148,21.0184
YMR010W,36.1025,45.0747,53.5988,46.2137
YMR156C,6.63861,10.4582,8.40653,5.09314
YGL022W,48.4829,57.5893,54.5087,42.0308
YBR143C,227.111,191.003,106.995,85.8998
YKL107W,2.33601,4.55701,4.10448,4.05215
YBL050W,41.0117,64.6243,69.5181,63.1232
YGR106C,252.035,257.294,245.676,174.831
YOL163W,0,0,0,0
YBR112C,27.6442,16.3809,10.9837,5.16688
YMR169C,1.53814,9.37889,28.3467,42.6416
YHR020W,132.308,110.655,50.5027,31.9054
YDL035C,10.6205,11.4784,13.5215,12.9382
YFR040W,16.9446,13.7286,23.1646,24.9194
YMR077C,11.0585,7.6559,6.88037,8.40929
YGR019W,31.4243,74.9454,90.5699,111.609
YGL064C,9.62469,12.8285,10.7364,6.06995
YBR156C,4.03963,1.69484,1.4772,1.24579
YOR205C,22.7467,29.565,20.2919,16.2664
YHR058C,15.2414,15.8762,13.365,9.87087
YLR077W,12.7401,22.298,10.6587,10.2116
YOL082W,21.582,19.6909,7.96029,14.7419
YMR239C,19.6945,15.9418,9.87696,6.09783
YDR079W,32.0147,88.6861,165.175,111.974
YIR021W-A,2.55643,5.56237,4.35422,3.61431
YOR142W-B,1.08092,1.56035,0.848445,0
YGL190C,29.672,21.5274,17.542,9.44537
YCL048W,0.243305,0.238104,0.0709807,0.081808
YOR150W,53.1718,163.883,96.9659,44.8338
YML082W,26.2336,23.9662,26.2157,23.1794
YLR209C,43.0127,26.7556,18.2518,9.01633
YLR143W,10.8438,9.43597,3.576,2.38098
YIR039C,1.46999,19.2973,24.6322,17.2902
YAL024C,4.04623,1.7983,1.55148,1.0935
YHR092C,1120.65,5487.58,4810.51,3850.83
YMR049C,62.8398,52.6898,31.0118,22.3738
YCR027C,34.6296,29.3231,27.3895,26.4938
YJL047C,3.92208,3.79031,3.26008,2.07808
YPR113W,389.554,363.184,506.799,626.936
YOR043W,67.046,67.2183,50.7347,37.3498
YDR233C,842.025,1035.37,531.257,388.697
YOR371C,5.79571,5.12732,5.26433,4.51265
YHR063C,30.6901,25.8082,11.9431,6.46319
YIL118W,79.5081,74.2415,53.7228,47.1057
YIL090W,56.1822,66.2998,75.0565,75.4821
YGR271W,3.96545,2.98285,1.46666,0.890257
Q0275,1.67909,1.43263,4.86239,8.14628
YMR216C,40.6743,35.6587,31.3334,26.0368
YER027C,21.6137,27.8838,33.9131,24.0215
YDR246W,12.19,20.5634,51.1246,85.3942
YDR297W,539.544,608.951,1324.87,674.723
YBL079W,16.126,14.4457,9.01312,7.01088
YIL074C,363.697,121.258,22.4703,22.6353
YCR076C,22.0854,35.7393,28.6889,20.7302
YHL050C,14.0222,14.6485,13.0998,7.52805
YNL054W-B,5.15595,3.78044,1.21075,1.08355
YBR281C,12.6901,8.80579,5.52722,4.28415
YER044C-A,1.36373,1.19397,1.02805,1.32894
YMR114C,3.36123,9.17485,11.1096,13.3771
YDL174C,75.9934,177.921,164.449,130.166
YNL217W,23.2514,29.8562,21.5976,9.90373
YNL210W,17.5494,19.9652,15.0579,26.6819
YBR210W,37.2147,28.9031,15.5021,8.5977
YMR289W,15.4222,14.5852,4.73022,2.40658
YGL062W,53.9866,66.6337,25.8107,49.6673
YEL051W,128.164,118.103,54.4101,31.1547
YFR011C,34.436,41.7422,37.266,12.9966
YML127W,25.2867,22.0792,22.6525,19.6661
YKR031C,2.21079,2.39969,1.26767,0.826425
YHR213W-A,25.3515,20.9366,12.4683,7.5064
YGR047C,5.07977,4.64821,2.48624,2.42894
YER048W-A,223.589,369.901,317.547,193.057
YER109C,5.93206,3.4706,3.29114,3.45964
YFR032C,1.26674,1.53083,1.69328,0.79905
YPR098C,48.2662,173.272,70.0949,64.3846
YML124C,67.2045,33.1466,13.5117,8.26514
YEL055C,33.5114,28.3223,15.4463,10.2989
YKL048C,7.59394,4.90174,3.98264,3.32378
YOR160W,19.8162,22.8734,15.3107,9.51134
YDR346C,77.6178,60.9939,56.4229,60.4755
YOR177C,0.368188,0.791761,0.473819,0.816079
YGL251C,1.95017,2.76705,2.71561,2.3224
YDL231C,23.098,36.4308,39.5981,32.2152
YDR256C,7.41444,9.30654,10.1178,11.3044
YDR212W,65.5071,61.3444,52.5851,57.959
YKL152C,5792.71,2912.72,290.132,263.18
YDR145W,16.7664,11.1269,9.56043,10.4821
YDR033W,1273.83,658.725,651.818,664.209
YKL061W,28.5415,11.4091,6.80185,10.3399
YGR161C-D,7.8852,4.79439,1.41041,1.07467
YOR259C,43.8118,64.8817,55.9824,69.2171
YDR420W,10.7153,9.95059,5.99638,3.08938
YOR321W,9.38807,11.434,5.73406,4.74117
YHR194W,5.00748,12.268,13.0358,8.25525
YKL188C,0.582309,2.4701,1.70508,1.49217
YDR286C,16.7313,52.432,42.0473,27.2341
YDR017C,8.81225,7.39351,6.48989,5.20974
YDL045W-A,97.9152,194.154,212.233,135.756
YJR126C,11.3259,14.8615,14.8072,7.91622
YGR149W,11.1411,24.7994,53.5707,79.8392
YKL121W,3.56323,3.64291,3.60953,1.80449
YNL151C,43.0943,29.4999,14.9271,19.1979
YDR161W,44.1657,42.2368,26.2293,16.2894
YER053C,68.5479,349.759,582.935,560.181
YOR273C,9.34379,66.3046,103.131,130.084
YGR195W,51.6579,45.5005,26.1927,14.3227
YNL035C,21.8641,20.8871,7.53233,5.8798
YOL103W,38.3675,30.3002,20.672,15.8827
YMR175W,1.78627,13.3525,24.2768,18.6091
1396,16.8185,27.7158,36.5321,22.9398
YDL191W,2155.7,1313.12,672.21,243.318
YGR292W,1.02894,2.76083,2.6483,3.15528
YMR130W,17.3714,23.2641,18.285,12.2701
YIL009C-A,25.3642,18.9493,13.629,6.24633
YDR260C,32.7638,35.1944,19.52,19.5054
